author,published_at,updated_at,like_count,text,GPT Assessment
@viviangel59,2024-01-26T13:28:42Z,2024-01-26T13:28:42Z,1,Thanks!,not motivational
@SportSpiritInspire-to1th,2024-01-30T01:07:42Z,2024-01-30T01:07:42Z,5,"This compilation is a goldmine of motivation! Every time I feel my drive waning, I turn to videos like this, and they never fail to reignite my determination. Four hours of pure, unadulterated inspiration is exactly what&#39;s needed to activate that &#39;alpha beast&#39; within us all. It&#39;s incredible how the right words at the right time can completely transform our mindset and approach to challenges. Kudos to the creators for assembling such a powerful and impactful collection of speeches",not motivational
@MotivationSportPodcast,2024-01-29T07:09:31Z,2024-01-29T07:09:31Z,0,This compilation is pure fire! The Alpha Beast mode activated in these motivational speeches is truly empowering. The intensity and motivation packed into this 4-hour compilation are next level. Which speech resonated with you the most? 🚀💪,not motivational
@peterjamesmulbah3351,2024-01-26T07:40:19Z,2024-01-26T07:40:19Z,1,I&#39;m going to win❤,motivational
@NuckingFuts56,2024-02-01T01:27:04Z,2024-02-01T01:27:04Z,3,"My Son needs to hear this! He is clean from HEROIN for 8 years now! He beats himself up every day because he has seizures as a result. Reached almost a full year of being seizure free was close to getting a car, That was his only goal.. <br>A delay is not a denial! He somehow continues to put one foot in front of the other! He even has a job! He has such faith! <br>Thank you! For sharing this!",motivational
@Aldemb9,2024-01-26T05:31:17Z,2024-01-26T05:31:17Z,13,"2024 will be the testimony of rising of King, and this King, is Me.",motivational
@anthonyc7695,2024-01-31T13:06:28Z,2024-01-31T13:06:28Z,0,This will be my year!! I OWN YOU 2024!!,motivational
@Anushka_Gupta023,2024-01-27T11:12:21Z,2024-01-27T11:12:21Z,5,"After 10 years,<br>I will be right here in the comment section typing my story how Anushka Gupta become what she is now. Thanks buddy for this video.<br>You will always be a great part of my journey.<br><br>Sending blessings for you ❤️",not motivational
@WilliamKingHollis,2024-01-27T22:40:21Z,2024-01-27T22:40:52Z,0,Great video follow William king Hollis for exclusive content  @williamkinghollis,not motivational
@AdamKoutsoukos,2024-01-26T12:09:57Z,2024-01-26T12:09:57Z,0,This posts are the best!! Every morning i listen and send to my son💪💪💪,motivational
